일자,kospi,ams
2019-08-01,883480.0,1.0
2019-09-01,860552.0,0.7272727272727273
2019-10-01,852038.0,0.2727272727272727
2019-11-01,846586.0,0.18181818181818182
2019-12-01,814886.0,0.09090909090909091
2020-01-01,821072.0,0.09090909090909091
2020-02-01,824118.0,0.18181818181818182
2020-03-01,790989.0,0.0
2020-04-01,665447.0,0.0
2020-05-01,624451.0,0.0
2020-06-01,585617.0,0.0
2020-07-01,573434.0,0.0
2020-08-01,584224.0,0.09090909090909091
2020-09-01,555758.0,0.0
2020-10-01,546986.0,0.0
2020-11-01,543051.0,0.0
2020-12-01,592984.0,0.5454545454545454
2021-01-01,575447.0,0.36363636363636365
2021-02-01,522453.0,0.0
2021-03-01,501890.0,0.0
2021-04-01,489486.0,0.0
2021-05-01,493201.0,0.09090909090909091
2021-06-01,408036.0,0.0
2021-07-01,400896.0,0.0
2021-08-01,349806.0,0.0
